1	 Neshek, P	PHI	0	1	0.93	21	0	0	1	19.1	13	2	2	1	3	17	.188	0.83
2	 Garcia, L	PHI	1	0	2.30	14	0	0	0	15.2	14	4	4	2	4	7	.237	1.15
3	 Neris, H	PHI	2	2	2.96	24	0	4	5	24.1	19	8	8	4	8	27	.216	1.11
4	 Ramos, E	PHI	0	3	3.22	23	0	0	2	22.1	22	9	8	3	13	27	.253	1.57
5	 Benoit, J	PHI	1	2	3.68	23	0	1	3	22.0	11	9	9	2	12	19	.147	1.05
6	 Hellickson, J	PHI	5	3	4.45	11	11	0	0	60.2	56	31	30	11	15	24	.246	1.17
7	 Eickhoff, J	PHI	0	5	4.74	10	10	0	0	57.0	64	32	30	7	19	51	.279	1.46
8	 Nola, A	PHI	2	3	5.06	6	6	0	0	32.0	35	18	18	4	11	29	.280	1.44
9	 Pivetta, N	PHI	0	2	5.12	4	4	0	0	19.1	26	11	11	5	9	21	.325	1.81
10	 Leiter Jr., M	PHI	0	0	5.40	11	0	0	0	16.2	10	12	10	2	11	11	.167	1.26
11	 Velasquez, V	PHI	2	5	5.58	10	10	0	0	50.0	52	33	31	11	21	53	.268	1.46
12	 Rodriguez, J	PHI	1	2	5.96	23	0	0	2	25.2	33	21	17	4	12	15	.314	1.75
13	 Eflin, Z	PHI	0	3	6.13	8	8	0	0	47.0	58	33	32	11	9	25	.314	1.43
14	 Morgan, A	PHI	0	1	7.00	3	0	0	0	9.0	14	7	7	6	2	10	.350	1.78
15	 Gomez, J	PHI	3	1	7.63	12	0	1	2	15.1	21	14	13	6	6	16	.339	1.76
16	 Thompson, J	PHI	0	0	9.00	3	0	0	0	5.0	6	5	5	1	4	3	.316	2.00
17	 Buchholz, C	PHI	0	1	12.27	2	2	0	0	7.1	16	10	10	1	3	5	.457	2.59
18	 Pinto, R	PHI	0	0	18.00	1	0	0	0	2.0	6	4	4	1	3	2	.600	4.50
